Ticker,Date,Price,Open,High,Low,ChangePercent
US10YR,2020-06-03,0.746,0.692,0.771,0.685,8.59%
US10YR,2020-06-02,0.687,0.649,0.688,0.648,2.92%
US10YR,2020-06-01,0.667,0.64,0.687,0.638,4.07%
US10YR,2020-05-31,0.641,0.636,0.641,0.636,-1.75%
US10YR,2020-05-29,0.653,0.683,0.687,0.643,-6.32%
US5YR,2020-06-03,0.364,0.326,0.384,0.319,13.33%
US5YR,2020-06-02,0.321,0.297,0.326,0.297,3.58%
US5YR,2020-06-01,0.31,0.294,0.323,0.288,5.41%
US5YR,2020-05-31,0.294,0.292,0.294,0.292,-3.13%
US5YR,2020-05-29,0.304,0.327,0.332,0.299,-10.68%
US6MO,2020-06-03,0.178,0.178,0.186,0.173,0.00%
US6MO,2020-06-02,0.178,0.172,0.193,0.172,6.59%
US6MO,2020-06-01,0.167,0.178,0.185,0.162,2.83%
US6MO,2020-05-31,0.162,0.162,0.162,0.162,-2.75%
US6MO,2020-05-29,0.167,0.178,0.19,0.165,-1.76%
