Ticker,Date,Price,Open,High,Low,Change %
US10YR,2021-04-05,1.72,1.702,1.727,1.702,0.84%
US10YR,2021-04-04,1.705,1.7,1.705,1.7,-0.52%
US10YR,2021-04-02,1.714,1.67,1.727,1.67,2.44%
US10YR,2021-04-01,1.673,1.737,1.753,1.672,-4.04%
US10YR,2021-03-31,1.744,1.717,1.753,1.7080000000000002,1.99%
US10YR,2021-03-30,1.71,1.713,1.776,1.706,-0.41%
US10YR,2021-03-29,1.717,1.672,1.7280000000000002,1.635,2.67%
US10YR,2021-03-28,1.672,1.671,1.672,1.671,-0.11%
US10YR,2021-03-26,1.6740000000000002,1.626,1.681,1.619,2.51%
US10YR,2021-03-25,1.633,1.612,1.642,1.591,1.21%
US10YR,2021-03-24,1.614,1.615,1.651,1.589,-0.53%
US10YR,2021-03-23,1.622,1.682,1.702,1.615,-4.27%
US10YR,2021-03-22,1.695,1.707,1.709,1.663,-0.71%
US10YR,2021-03-21,1.707,1.71,1.71,1.707,-1.34%
US10YR,2021-03-19,1.73,1.71,1.75,1.671,1.38%
US10YR,2021-03-18,1.706,1.66,1.754,1.629,3.66%
US10YR,2021-03-17,1.646,1.621,1.689,1.616,1.53%
US10YR,2021-03-16,1.621,1.602,1.628,1.585,0.88%
US10YR,2021-03-15,1.607,1.6369999999999998,1.639,1.595,-1.81%
US10YR,2021-03-14,1.6369999999999998,1.639,1.639,1.6369999999999998,0.76%
US10YR,2021-03-12,1.625,1.541,1.642,1.5319999999999998,5.83%
US10YR,2021-03-11,1.535,1.521,1.547,1.475,0.92%
US10YR,2021-03-10,1.521,1.525,1.5659999999999998,1.506,-0.45%
US10YR,2021-03-09,1.528,1.589,1.594,1.523,-4.67%
US10YR,2021-03-08,1.6030000000000002,1.597,1.6130000000000002,1.575,0.23%
US10YR,2021-03-07,1.599,1.597,1.599,1.597,1.44%
US10YR,2021-03-05,1.577,1.5659999999999998,1.625,1.535,1.25%
US10YR,2021-03-04,1.557,1.486,1.569,1.45,4.91%
US10YR,2021-03-03,1.484,1.402,1.4980000000000002,1.398,6.15%
US10YR,2021-03-02,1.398,1.4240000000000002,1.453,1.39,-1.92%
US10YR,2021-03-01,1.426,1.395,1.46,1.383,2.21%
US10YR,2021-02-28,1.395,1.415,1.415,1.395,-0.85%
US10YR,2021-02-26,1.4069999999999998,1.529,1.558,1.381,-8.08%
US10YR,2021-02-25,1.53,1.379,1.614,1.374,11.52%
US10YR,2021-02-24,1.372,1.3430000000000002,1.435,1.33,2.16%
US10YR,2021-02-23,1.3430000000000002,1.369,1.389,1.342,-1.86%
US10YR,2021-02-22,1.369,1.3630000000000002,1.394,1.3259999999999998,0.51%
US10YR,2021-02-21,1.362,1.367,1.367,1.362,1.65%
US10YR,2021-02-19,1.34,1.2919999999999998,1.3630000000000002,1.2819999999999998,3.27%
US10YR,2021-02-18,1.297,1.274,1.318,1.258,1.19%
US10YR,2021-02-17,1.2819999999999998,1.329,1.3330000000000002,1.269,-2.18%
US10YR,2021-02-16,1.311,1.25,1.317,1.223,4.85%
US10YR,2021-02-15,1.25,1.25,1.25,1.25,3.32%
US10YR,2021-02-12,1.21,1.163,1.213,1.15,3.87%
US10YR,2021-02-11,1.165,1.147,1.166,1.132,3.61%
US10YR,2021-02-10,1.124,1.164,1.176,1.122,-3.10%
US10YR,2021-02-09,1.16,1.164,1.172,1.14,-1.32%
US10YR,2021-02-08,1.176,1.172,1.2,1.15,0.15%
US10YR,2021-02-07,1.1740000000000002,1.177,1.177,1.1740000000000002,0.44%
US10YR,2021-02-05,1.169,1.138,1.188,1.129,2.90%
US10YR,2021-02-04,1.136,1.143,1.162,1.131,-0.29%
US10YR,2021-02-03,1.139,1.108,1.141,1.105,4.07%
US10YR,2021-02-02,1.095,1.083,1.118,1.074,1.44%
US10YR,2021-02-01,1.079,1.071,1.089,1.06,0.79%
US10YR,2021-01-31,1.071,1.069,1.072,1.069,0.00%
US10YR,2021-01-29,1.071,1.048,1.105,1.042,1.80%
US10YR,2021-01-28,1.052,1.023,1.072,0.996,3.85%
US10YR,2021-01-27,1.013,1.04,1.05,1.001,-1.97%
US10YR,2021-01-26,1.033,1.043,1.053,1.028,0.00%
US10YR,2021-01-25,1.033,1.096,1.103,1.03,-5.73%
US10YR,2021-01-24,1.096,1.097,1.097,1.096,0.94%
US10YR,2021-01-22,1.086,1.113,1.118,1.08,-2.14%
US10YR,2021-01-21,1.109,1.085,1.123,1.077,3.01%
US10YR,2021-01-20,1.077,1.1,1.107,1.075,-1.39%
US10YR,2021-01-19,1.092,1.102,1.121,1.087,-0.77%
US10YR,2021-01-18,1.1,1.099,1.1,1.099,1.25%
US10YR,2021-01-15,1.087,1.128,1.128,1.084,-3.75%
US10YR,2021-01-14,1.129,1.085,1.138,1.075,3.44%
US10YR,2021-01-13,1.092,1.117,1.134,1.071,-3.31%
US10YR,2021-01-12,1.129,1.146,1.187,1.129,-1.33%
US10YR,2021-01-11,1.144,1.107,1.148,1.097,2.29%
US10YR,2021-01-10,1.119,1.119,1.119,1.119,0.00%
US10YR,2021-01-08,1.119,1.079,1.125,1.075,3.47%
US10YR,2021-01-07,1.081,1.037,1.088,1.029,4.07%
US10YR,2021-01-06,1.039,0.95,1.054,0.945,8.80%
US10YR,2021-01-05,0.955,0.922,0.963,0.916,4.00%
US10YR,2021-01-04,0.918,0.93,0.953,0.906,-1.25%
