Ticker,Date,Open,High,Low,Close,Volume
spy,2008-01-23,110.71,116.91,110.49,116.61,587619645
spy,2008-01-24,117.17,118,116.13,117.6,298393054
spy,2008-01-25,118.94,119.15,115.52,115.9,309475521
spy,2008-01-28,116.08,118.06,115.05,117.8,250164819
spy,2008-01-29,118.57,118.89,117.5,118.39,193957541
qqq,2008-01-23,38.785,40.253,37.937,40.124,427905379
qqq,2008-01-24,40.289,40.96,40.167,40.944,274486913
qqq,2008-01-25,41.819,41.819,40.061,40.105,218600643
qqq,2008-01-28,40.134,40.517,39.723,40.418,179562076
qqq,2008-01-29,40.629,40.74,40.152,40.491,151922687
dia,2008-01-23,100.59,105.38,99.85,105.29,49825708
dia,2008-01-24,105.46,106.32,104.89,105.91,23918079
dia,2008-01-25,106.95,107,104.44,104.85,22770094
dia,2008-01-28,104.7,106.21,103.83,105.99,22575474
dia,2008-01-29,106.61,107.17,105.84,106.86,17743931
