Ticker,Date,CallVol,PutVol,PutCallRatio
SPY,2019-09-11,2349228,3576840,1.522559752
SPY,2019-09-10,1884554,3801362,2.017114925
SPY,2019-09-09,1817440,3162962,1.740339158
SPY,2019-09-06,2694154,3123304,1.159289335
SPY,2019-09-05,2499280,4443674,1.777981659
XLC,2019-09-11,1352,2800,2.071005917
XLC,2019-09-10,916,96,0.104803493
XLC,2019-09-09,1252,278,0.222044728
XLC,2019-09-06,182,324,1.78021978
XLC,2019-09-05,628,8566,13.64012739
XLE,2019-09-11,23524,61348,2.607889815
XLE,2019-09-10,70622,91774,1.299510068
XLE,2019-09-09,61642,39978,0.648551312
XLE,2019-09-06,77592,34604,0.445973812
XLE,2019-09-05,54418,28482,0.523392995
