Ticker,Date,Open,High,Low,Close,Volume
xlb,2005-11-10,24.171,24.545,24.065,24.49,3086054
xlb,2005-11-11,24.545,24.84,24.473,24.831,1411100
xlb,2005-11-14,25.091,25.376,24.988,25.072,7096633
xlb,2005-11-15,25.081,25.222,24.971,25.005,1731991
xlb,2005-11-16,25.005,25.134,24.927,25.047,2310393
xli,2005-11-10,26.216,26.512,26.131,26.486,324997
xli,2005-11-11,26.379,26.58,26.379,26.538,577748
xli,2005-11-14,26.529,26.607,26.502,26.589,228823
xli,2005-11-15,26.72,26.729,26.512,26.58,966371
xli,2005-11-16,26.641,26.738,26.634,26.676,1018602
xlk,2005-11-10,18.635,18.758,18.499,18.758,1281534
xlk,2005-11-11,18.802,18.848,18.758,18.802,999759
xlk,2005-11-14,18.848,18.902,18.748,18.82,4265520
xlk,2005-11-15,19.042,19.042,18.696,18.758,3150913
xlk,2005-11-16,18.669,18.829,18.669,18.829,1325404
xlv,2005-11-10,27.384,27.741,27.375,27.722,1651791
xlv,2005-11-11,27.741,27.775,27.534,27.731,1850952
xlv,2005-11-14,27.775,27.775,27.49,27.543,332756
xlv,2005-11-15,27.543,27.838,27.543,27.686,506141
xlv,2005-11-16,27.766,27.793,27.562,27.634,367836
