Ticker,Date,Price,Open,High,Low,ChangePercent
US10YR,2017-03-31,2.389,2.414,2.431,2.387,-0.0132
US10YR,2017-03-30,2.421,2.385,2.425,2.373,0.0172
US10YR,2017-03-29,2.38,2.425,2.427,2.378,-0.0165
US10YR,2017-03-28,2.42,2.382,2.421,2.357,0.0177
US10YR,2017-03-27,2.378,2.382,2.384,2.348,-0.0023
US10YR,2017-03-26,2.384,2.418,2.418,2.378,-0.0142
US10YR,2017-03-24,2.418,2.418,2.438,2.393,0
US10YR,2017-03-23,2.418,2.409,2.437,2.387,0.0062
US10YR,2017-03-22,2.403,2.414,2.425,2.375,-0.0054
US10YR,2017-03-21,2.416,2.466,2.499,2.416,-0.0191
US10YR,2017-03-20,2.463,2.508,2.513,2.463,-0.015
US10YR,2017-03-19,2.5,2.5,2.5,2.5,0
US10YR,2017-03-18,2.5,2.5,2.5,2.5,0
US10YR,2017-03-17,2.501,2.544,2.544,2.49,-0.0142
US10YR,2017-03-16,2.537,2.497,2.542,2.486,0.0148
US10YR,2017-03-15,2.5,2.598,2.6,2.495,-0.0392
US10YR,2017-03-14,2.602,2.62,2.629,2.588,-0.0091
US10YR,2017-03-13,2.626,2.584,2.628,2.558,0.0171
US10YR,2017-03-12,2.582,2.575,2.586,2.575,0.0026
US10YR,2017-03-10,2.575,2.613,2.624,2.575,-0.013
US10YR,2017-03-09,2.609,2.56,2.609,2.558,0.0191
US10YR,2017-03-08,2.56,2.52,2.583,2.507,0.0167
US10YR,2017-03-07,2.518,2.494,2.52,2.491,0.0096
US10YR,2017-03-06,2.494,2.474,2.507,2.457,0.0072
US10YR,2017-03-05,2.476,2.48,2.482,2.476,-0.0023
US10YR,2017-03-03,2.482,2.483,2.521,2.471,0
US10YR,2017-03-02,2.482,2.467,2.505,2.453,0.0098
US10YR,2017-03-01,2.458,2.415,2.471,2.397,0.0254
US10YR,2017-02-28,2.397,2.363,2.401,2.336,0.0127
US10YR,2017-02-27,2.367,2.324,2.37,2.317,0.0192
US10YR,2017-02-26,2.322,2.321,2.322,2.317,0.0032
US10YR,2017-02-24,2.315,2.377,2.384,2.31,-0.0257
US10YR,2017-02-23,2.376,2.417,2.42,2.372,-0.0161
US10YR,2017-02-22,2.415,2.438,2.454,2.391,-0.0066
US10YR,2017-02-21,2.431,2.436,2.461,2.413,-0.0021
US10YR,2017-02-20,2.436,2.42,2.438,2.42,0.0067
US10YR,2017-02-17,2.42,2.457,2.465,2.4,-0.011
US10YR,2017-02-16,2.447,2.499,2.499,2.438,-0.02
US10YR,2017-02-15,2.497,2.479,2.524,2.466,0.0101
US10YR,2017-02-14,2.472,2.436,2.502,2.427,0.0148
US10YR,2017-02-13,2.436,2.423,2.452,2.416,0.0045
US10YR,2017-02-12,2.425,2.409,2.429,2.409,0.0067
US10YR,2017-02-10,2.409,2.4,2.434,2.397,0.005
US10YR,2017-02-09,2.397,2.329,2.402,2.326,0.0244
US10YR,2017-02-08,2.34,2.397,2.402,2.325,-0.0238
US10YR,2017-02-07,2.397,2.409,2.441,2.367,-0.0083
US10YR,2017-02-06,2.417,2.472,2.472,2.406,-0.0223
US10YR,2017-02-05,2.472,2.467,2.478,2.467,0.0021
US10YR,2017-02-03,2.467,2.477,2.506,2.428,-0.0028
US10YR,2017-02-02,2.474,2.477,2.481,2.433,-0.0012
US10YR,2017-02-01,2.477,2.461,2.518,2.459,0.0045
US10YR,2017-01-31,2.466,2.484,2.499,2.433,-0.0096
US10YR,2017-01-30,2.49,2.479,2.499,2.462,0.0045
US10YR,2017-01-29,2.479,2.486,2.486,2.473,-0.0029
US10YR,2017-01-27,2.486,2.51,2.531,2.481,-0.0104
US10YR,2017-01-26,2.512,2.51,2.555,2.5,-0.0012
US10YR,2017-01-25,2.515,2.458,2.538,2.449,0.0203
US10YR,2017-01-24,2.465,2.406,2.473,2.388,0.0267
US10YR,2017-01-23,2.401,2.441,2.476,2.381,-0.0157
US10YR,2017-01-22,2.439,2.467,2.467,2.439,-0.0113
US10YR,2017-01-20,2.467,2.474,2.513,2.45,-0.0012
US10YR,2017-01-19,2.47,2.428,2.496,2.413,0.0173
US10YR,2017-01-18,2.428,2.333,2.433,2.329,0.0443
US10YR,2017-01-17,2.325,2.376,2.376,2.305,-0.0223
US10YR,2017-01-16,2.378,2.398,2.398,2.374,-0.0083
US10YR,2017-01-13,2.398,2.363,2.431,2.334,0.0157
US10YR,2017-01-12,2.361,2.361,2.365,2.307,-0.0038
US10YR,2017-01-11,2.37,2.381,2.398,2.329,-0.0029
US10YR,2017-01-10,2.377,2.37,2.394,2.361,0.0038
US10YR,2017-01-09,2.368,2.443,2.443,2.363,-0.022
US10YR,2017-01-08,2.421,2.421,2.421,2.421,0
US10YR,2017-01-06,2.421,2.35,2.425,2.334,0.0311
US10YR,2017-01-05,2.348,2.435,2.452,2.344,-0.0381
US10YR,2017-01-04,2.441,2.454,2.478,2.432,-0.0029
US10YR,2017-01-03,2.448,2.439,2.518,2.437,0.0007
US5YR,2017-03-31,1.925,1.957,1.972,1.923,-0.0209
US5YR,2017-03-30,1.966,1.934,1.972,1.923,0.0197
US5YR,2017-03-29,1.928,1.979,1.98,1.928,-0.0188
US5YR,2017-03-28,1.965,1.918,1.967,1.9,0.0245
US5YR,2017-03-27,1.918,1.915,1.92,1.883,0.0016
US5YR,2017-03-26,1.915,1.952,1.952,1.907,-0.019
US5YR,2017-03-24,1.952,1.953,1.972,1.922,0
US5YR,2017-03-23,1.952,1.943,1.97,1.918,0.0072
US5YR,2017-03-22,1.938,1.943,1.958,1.908,-0.0036
US5YR,2017-03-21,1.945,1.988,2.023,1.941,-0.0211
US5YR,2017-03-20,1.987,2.027,2.028,1.985,-0.0163
US5YR,2017-03-19,2.02,2.02,2.02,2.02,0
US5YR,2017-03-18,2.02,2.02,2.02,2.02,0
US5YR,2017-03-17,2.02,2.053,2.053,2.002,-0.0122
US5YR,2017-03-16,2.045,2.005,2.052,1.996,0.0194
US5YR,2017-03-15,2.006,2.127,2.13,2.005,-0.0582
US5YR,2017-03-14,2.13,2.135,2.147,2.11,-0.0042
US5YR,2017-03-13,2.139,2.112,2.142,2.078,0.0138
