Ticker,Date,Open,High,Low,Close,Volume
spy,2017-01-03,221.88,222.66,220.74,222.07,92392034
spy,2017-01-04,222.45,223.57,222.44,223.41,79584771
spy,2017-01-05,223.1,223.41,222.31,223.23,79407168
spy,2017-01-06,223.36,224.55,222.73,224.02,72319765
spy,2017-01-09,223.72,223.88,223.25,223.29,47391097
spy,2017-01-10,223.31,224.25,222.84,223.29,64105242
spy,2017-01-11,223.19,223.91,222.42,223.91,75572456
spy,2017-01-12,223.33,223.57,221.79,223.36,73058099
spy,2017-01-13,223.55,224.2,223.51,223.86,63429223
spy,2017-01-17,223.14,223.59,222.63,223.08,61976203
spy,2017-01-18,223.36,223.61,222.73,223.57,55429458
spy,2017-01-19,223.65,223.81,222.24,222.74,67152452
spy,2017-01-20,223.52,224.12,222.88,223.56,124729007
spy,2017-01-23,223.18,223.61,222.1,222.98,75994720
spy,2017-01-24,223.23,224.88,223.1,224.4,96607857
spy,2017-01-25,225.49,226.35,225.31,226.35,85308722
spy,2017-01-26,226.18,226.48,225.79,226.11,60695439
spy,2017-01-27,226.2,226.37,225.55,225.75,60383798
spy,2017-01-30,224.97,225,223.24,224.35,80689909
spy,2017-01-31,223.79,224.4,223.15,224.33,76455074
spy,2017-02-01,225.06,225.39,223.75,224.42,80053328
spy,2017-02-02,224.01,224.9,223.63,224.57,70498817
spy,2017-02-03,225.6,226.33,225.26,226.12,81710184
spy,2017-02-06,225.65,226.1,225.34,225.71,58555795
spy,2017-02-07,226.16,226.43,225.51,225.72,58647385
spy,2017-02-08,225.41,226.17,225.11,226.02,52112689
spy,2017-02-09,226.34,227.7,226.3,227.37,66761404
spy,2017-02-10,227.75,228.52,227.63,228.26,66725164
spy,2017-02-13,228.82,229.79,228.79,229.51,55827269
spy,2017-02-14,229.3,230.43,228.9,230.42,71023114
spy,2017-02-15,230.17,231.83,230.11,231.62,87456497
spy,2017-02-16,231.66,231.85,230.57,231.43,85779637
spy,2017-02-17,230.67,231.78,230.65,231.78,77912586
spy,2017-02-21,232.21,233.37,232.2,233.18,89021034
spy,2017-02-22,232.71,233.23,232.52,232.97,62805580
spy,2017-02-23,233.56,233.58,232.25,233.13,73874944
spy,2017-02-24,232.15,233.48,232.1,233.42,83402712
spy,2017-02-27,233.32,233.97,233.04,233.77,57209656
