Ticker,Date,Open,High,Low,Close,Volume
xlb,2017-01-04,49.534,50.146,49.534,50.057,4144398
xlb,2017-01-05,49.997,50.184,49.741,49.909,3954721
xlb,2017-01-06,49.909,49.997,49.675,49.958,2986122
xlb,2017-01-09,49.919,50.422,49.869,49.948,7194659
xlb,2017-01-10,49.978,50.166,49.762,49.978,2881837
xlb,2017-01-11,49.889,50.407,49.889,50.382,6687333
xlb,2017-01-12,50.382,50.382,49.968,50.284,3195175
xlb,2017-01-13,50.294,50.344,50.077,50.204,2480884
xlb,2017-01-17,50.077,50.194,49.82,49.978,3730428
xlb,2017-01-18,50.117,50.344,49.948,50.294,3076917
xlb,2017-01-19,50.353,50.462,49.791,49.978,3346957
xlb,2017-01-20,50.156,50.506,50.117,50.422,5072883
xlb,2017-01-23,50.422,50.599,50.229,50.521,4216112
xlb,2017-01-24,50.709,51.942,50.709,51.824,7977480
xlb,2017-01-25,52.041,52.219,51.714,52.169,8329812
xlb,2017-01-26,52.179,52.564,52.051,52.307,5391071
xlb,2017-01-27,52.179,52.277,52.012,52.119,4708102
xlb,2017-01-30,51.932,51.932,51.367,51.587,6122814
xlb,2017-01-31,51.567,51.607,51.074,51.281,5599430
xlb,2017-02-01,51.261,51.636,51.109,51.537,10207208
xlb,2017-02-02,51.517,51.517,51.132,51.31,5132815
xlb,2017-02-03,51.39,51.474,51.231,51.4,5615259
xlb,2017-02-06,51.281,51.33,51.044,51.261,2758700
xlb,2017-02-07,51.122,51.201,50.781,50.856,4256448
xlb,2017-02-08,50.826,50.994,50.659,50.975,4751310
xlb,2017-02-09,50.994,51.114,50.846,50.955,8224963
xlb,2017-02-10,51.182,51.497,51.152,51.419,3457687
xlb,2017-02-13,51.616,51.982,51.616,51.843,3700855
xlb,2017-02-14,51.754,51.858,51.492,51.833,3710796
xlb,2017-02-15,51.695,51.932,51.666,51.764,3146035
xlb,2017-02-16,51.814,52.064,51.597,51.764,3245430
xlb,2017-02-17,51.666,51.735,51.429,51.616,4016650
xlb,2017-02-21,51.587,51.932,51.497,51.784,7473643
xlb,2017-02-22,51.577,52.209,51.547,51.922,5182184
xlb,2017-02-23,52.032,52.219,51.587,51.636,3581892
xlb,2017-02-24,51.419,51.784,51.34,51.745,4876079
xlb,2017-02-27,51.745,52.041,51.537,51.616,6381260
xlb,2017-02-28,51.577,51.814,51.488,51.567,3912947
xlb,2017-03-01,52.041,52.741,52.041,52.574,5979054
xlb,2017-03-02,52.534,52.557,52.012,52.012,4635285
xlb,2017-03-03,52.012,52.179,51.833,51.972,3001368
xlb,2017-03-06,51.784,51.922,51.557,51.636,3603830
xlb,2017-03-07,51.666,51.715,51.325,51.35,3888159
xlb,2017-03-08,51.39,51.882,51.271,51.35,5156550
xlb,2017-03-09,51.419,51.483,50.945,51.191,4579714
xlb,2017-03-10,51.468,51.592,51.191,51.429,4832267
xlb,2017-03-13,51.488,51.587,51.35,51.577,3581917
xlb,2017-03-14,51.37,51.409,51.074,51.132,5731443
xlb,2017-03-15,51.35,52.041,51.305,51.952,5774541
xlb,2017-03-16,52.069,52.139,51.517,51.597,6626716
xlb,2017-03-17,51.838,52.007,51.769,51.819,5182142
xlb,2017-03-20,51.858,52.13,51.66,52.105,2782940
xlb,2017-03-21,52.145,52.253,51.155,51.234,7413489
xlb,2017-03-22,51.194,51.422,50.858,51.383,5708294
xlb,2017-03-23,51.304,51.759,51.185,51.601,4814365
xlb,2017-03-24,51.571,51.709,50.928,51.145,6080907
xlb,2017-03-27,50.66,51.353,50.532,51.254,4319546
xlb,2017-03-28,51.323,52.027,51.194,51.848,3973166
xlb,2017-03-29,51.769,52.027,51.709,51.887,3041681
xlb,2017-03-30,51.858,52.175,51.838,51.897,3021705
xlb,2017-03-31,51.937,52.175,51.838,51.887,3750076
xle,2017-01-04,74.273,74.41,73.815,74.059,11469964
xle,2017-01-05,74.107,74.381,73.52,73.874,11433937
xle,2017-01-06,74.107,74.19,73.457,73.942,7602130
xle,2017-01-09,73.454,73.523,72.763,72.871,11235126
xle,2017-01-10,72.812,72.977,72.149,72.208,9912366
xle,2017-01-11,72.461,73.123,72.158,72.987,13214556
xle,2017-01-12,73.397,73.474,72.393,72.685,11177386
xle,2017-01-13,72.588,72.743,72.286,72.47,10155288
xle,2017-01-17,72.695,73.095,72.636,72.919,10027217
