Ticker,Date,Price,Open,High,Low,ChangePercent
US10YR,2014-03-02,2.608,2.653,2.653,2.605,-0.0154
US10YR,2014-02-28,2.649,2.646,2.698,2.633,0.0038
US10YR,2014-02-27,2.639,2.673,2.678,2.635,-0.0101
US10YR,2014-02-26,2.666,2.707,2.719,2.662,-0.0137
US10YR,2014-02-25,2.703,2.744,2.748,2.698,-0.0139
US10YR,2014-02-24,2.741,2.736,2.763,2.721,0.0014
US10YR,2014-02-23,2.737,2.734,2.739,2.734,0.0019
US10YR,2014-02-21,2.732,2.755,2.781,2.73,-0.0073
US10YR,2014-02-20,2.752,2.734,2.773,2.698,0.0047
US10YR,2014-02-19,2.739,2.707,2.743,2.675,0.0111
US10YR,2014-02-18,2.709,2.75,2.763,2.696,-0.0143
US10YR,2014-02-17,2.748,2.752,2.752,2.748,0.0012
US10YR,2014-02-14,2.745,2.739,2.755,2.711,0.004
US10YR,2014-02-13,2.734,2.786,2.786,2.727,-0.0105
US10YR,2014-02-12,2.763,2.72,2.777,2.715,0.0136
US10YR,2014-02-11,2.726,2.682,2.733,2.682,0.0214
US10YR,2014-02-10,2.669,2.684,2.695,2.664,-0.0055
US10YR,2014-02-09,2.684,2.686,2.686,2.684,0
US10YR,2014-02-07,2.684,2.7,2.726,2.633,-0.0067
US10YR,2014-02-06,2.702,2.669,2.709,2.658,0.0124
US10YR,2014-02-05,2.669,2.629,2.675,2.599,0.0144
US10YR,2014-02-04,2.631,2.586,2.635,2.575,0.021
US10YR,2014-02-03,2.577,2.666,2.68,2.57,-0.0333
US10YR,2014-02-02,2.666,2.662,2.666,2.662,0.0082
US10YR,2014-01-31,2.644,2.699,2.71,2.646,-0.0197
US10YR,2014-01-30,2.697,2.688,2.726,2.675,0.0067
US10YR,2014-01-29,2.679,2.775,2.79,2.662,-0.0265
US10YR,2014-01-28,2.752,2.753,2.785,2.739,0.0007
US10YR,2014-01-27,2.75,2.715,2.768,2.71,0.0129
US10YR,2014-01-26,2.715,2.71,2.715,2.71,-0.0015
US10YR,2014-01-24,2.719,2.781,2.788,2.706,-0.0216
US10YR,2014-01-23,2.779,2.871,2.873,2.759,-0.0307
