Ticker,Date,Open,High,Low,Close,Volume
spy,2014-01-02,170.65,170.74,169.27,169.68,128869246
spy,2014-01-03,169.94,170.3,169.42,169.65,87729804
spy,2014-01-06,170.18,170.27,168.9,169.16,116213108
spy,2014-01-07,169.82,170.48,169.71,170.19,92802132
spy,2014-01-08,170.16,170.51,169.65,170.23,104084186
spy,2014-01-09,170.77,170.8,169.56,170.34,97658720
spy,2014-01-10,170.63,170.89,169.76,170.81,109976511
spy,2014-01-13,170.4,170.85,168.2,168.53,161516574
spy,2014-01-14,169.08,170.46,168.79,170.37,113114295
spy,2014-01-15,170.77,171.55,170.4,171.3,106124436
spy,2014-01-16,170.95,171.3,170.51,171.07,77865815
spy,2014-01-17,170.77,171.1,170.03,170.34,116236244
spy,2014-01-21,171.34,171.4,169.79,170.85,95510032
spy,2014-01-22,171.14,171.21,170.59,170.96,65881446
spy,2014-01-23,170.07,170.11,168.66,169.56,142722722
spy,2014-01-24,168.44,168.5,165.89,165.93,224940198
spy,2014-01-27,166.09,166.52,164.29,165.11,194704058
spy,2014-01-28,165.23,166.31,165.21,166.1,118954318
spy,2014-01-29,164.71,165.63,164.06,164.52,232949476
spy,2014-01-30,165.9,166.8,165.35,166.26,128103098
spy,2014-01-31,164.2,166.3,164.1,165.27,209817485
spy,2014-02-03,165.06,165.45,161.25,161.56,274516298
spy,2014-02-04,162.27,163.1,161.5,162.71,177758102
spy,2014-02-05,162.13,162.85,161.14,162.49,176571878
spy,2014-02-06,162.87,164.65,162.54,164.65,143215811
spy,2014-02-07,165.39,166.86,164.87,166.67,184082315
spy,2014-02-10,166.69,167.04,166.24,166.98,99262103
spy,2014-02-11,167.1,169.23,167.01,168.81,126901877
spy,2014-02-12,169.03,169.6,168.55,168.89,101878316
spy,2014-02-13,167.77,169.93,167.76,169.76,108269393
spy,2014-02-14,169.61,171.01,169.46,170.69,104018916
spy,2014-02-18,170.86,171.14,170.35,170.91,86548912
spy,2014-02-19,170.45,171.56,169.64,169.77,136364471
spy,2014-02-20,169.99,171.17,169.39,170.77,113069151
spy,2014-02-21,171.14,171.51,170.49,170.57,127323992
spy,2014-02-24,170.95,172.67,170.87,171.53,122867218
spy,2014-02-25,171.64,172.15,170.9,171.47,126018764
spy,2014-02-26,171.71,172.16,170.99,171.47,106099008
spy,2014-02-27,171.23,172.41,171.02,172.36,101146092
spy,2014-02-28,172.33,173.61,171.66,172.8,162547476
spy,2014-03-03,171.33,172.02,170.44,171.59,180652204
qqq,2014-01-02,83.836,83.866,83.329,83.569,30481850
qqq,2014-01-03,83.569,83.644,82.945,82.964,37308923
qqq,2014-01-06,82.973,83.08,82.353,82.658,33499876
qqq,2014-01-07,83.021,83.55,82.887,83.424,27041952
