Ticker,Date,CallVol,PutVol,PutCallRatio
SPY,2014-03-02,5145020,7578992,1.47307338
SPY,2014-02-28,7057910,10703430,1.5165155119999998
SPY,2014-02-27,6328032,10029916,1.584997674
SPY,2014-02-26,5266966,8570768,1.627268526
SPY,2014-02-25,6583912,9959052,1.512634434
SPY,2014-02-24,4970750,8913156,1.793120958
SPY,2014-02-21,3691166,6321810,1.7126864519999998
SPY,2014-02-20,2686918,4365670,1.62478721
SPY,2014-02-19,2160298,3091206,1.430916475
SPY,2014-02-18,2683266,3558474,1.326172657
SPY,2014-02-14,2252352,3709360,1.646882903
SPY,2014-02-13,2697190,3573952,1.325064975
SPY,2014-02-12,3226350,3924174,1.216288995
SPY,2014-02-11,3105516,3548532,1.1426545540000002
SPY,2014-02-10,2007644,2979250,1.48395333
SPY,2014-02-07,1935446,4501588,2.325865976
SPY,2014-02-06,1782200,2774782,1.556941982
SPY,2014-02-05,2302544,4289810,1.8630740609999998
SPY,2014-02-04,1894956,3792058,2.00113248
SPY,2014-02-03,1801862,3827734,2.124321396
SPY,2014-01-31,3764962,7372196,1.95810635
SPY,2014-01-30,2454042,4109544,1.674602146
SPY,2014-01-29,2013800,3298014,1.6360819530000001
SPY,2014-01-28,2064364,3206352,1.553191201
SPY,2014-01-27,3341148,5729160,1.7147279919999998
SPY,2014-01-24,3990260,6674520,1.6727030319999998
SPY,2014-01-23,2463698,2880744,1.169276429
SPY,2014-01-22,2427452,2712484,1.117420241
SPY,2014-01-21,2427902,3596556,1.481343151
SPY,2014-01-17,3083430,3819678,1.2387756490000001
SPY,2014-01-16,2769622,3211874,1.159679552
SPY,2014-01-15,3421994,3610396,1.055056204
SPY,2014-01-14,2559022,3427050,1.3392030240000001
SPY,2014-01-13,2537706,3631384,1.430971121
SPY,2014-01-10,2885368,3947012,1.367940589
SPY,2014-01-09,2559258,3110520,1.215399151
SPY,2014-01-08,3235308,3925702,1.213393593
SPY,2014-01-07,1795904,1969908,1.0968893659999999
SPY,2014-01-06,1969546,3129420,1.588904245
SPY,2014-01-03,2564860,4089874,1.594579821
SPY,2014-01-02,2257380,3001472,1.329626381
XLC,2014-03-02,518,5928,11.44401544
XLC,2014-02-28,968,426,0.440082645
XLC,2014-02-27,1050,230,0.219047619
XLC,2014-02-26,612,1212,1.9803921569999998
XLC,2014-02-25,1366,646,0.47291361600000004
XLC,2014-02-24,1028,1516,1.4747081709999998
XLC,2014-02-21,3044,294,0.096583443
XLC,2014-02-20,596,316,0.530201342
XLC,2014-02-19,8568,4882,0.569794585
XLC,2014-02-18,1008,318,0.31547619
XLC,2014-02-14,674,730,1.083086053
XLC,2014-02-13,536,236,0.440298507
