Ticker,Date,Open,High,Low,Close,Volume
xlb,2014-01-02,42.653,42.83,42.458,42.568,7476865
xlb,2014-01-03,42.626,42.662,42.449,42.468,4677346
xlb,2014-01-06,42.56,42.568,42.133,42.234,4769369
xlb,2014-01-07,42.244,42.504,42.04,42.16,4182357
xlb,2014-01-08,42.225,42.468,42.057,42.41,4437878
xlb,2014-01-09,42.43,42.568,42.076,42.244,4759530
xlb,2014-01-10,42.328,42.42,42.124,42.373,3338715
xlb,2014-01-13,42.217,42.347,41.743,41.797,5421874
xlb,2014-01-14,41.918,42.43,41.875,42.382,4105680
xlb,2014-01-15,42.401,42.726,42.401,42.644,3799979
xlb,2014-01-16,42.568,42.745,42.532,42.745,5302319
xlb,2014-01-17,42.764,42.83,42.577,42.644,7908964
xlb,2014-01-21,43.081,43.238,42.689,42.905,7937849
xlb,2014-01-22,42.857,42.939,42.365,42.487,6025827
xlb,2014-01-23,42.328,42.373,41.567,41.856,6999585
xlb,2014-01-24,41.493,41.52,40.712,40.731,10878639
xlb,2014-01-27,40.788,40.925,40.267,40.565,6410887
xlb,2014-01-28,40.816,40.887,40.647,40.798,5220063
xlb,2014-01-29,40.48,41.372,40.48,40.964,11111141
xlb,2014-01-30,41.176,41.325,40.835,41.157,8662981
xlb,2014-01-31,40.637,41.223,40.547,40.887,6718414
xlb,2014-02-03,40.825,41.064,39.884,39.933,21368811
xlb,2014-02-04,40.154,40.547,39.96,40.285,7984715
xlb,2014-02-05,40.135,40.433,39.709,40.332,8507183
xlb,2014-02-06,40.415,40.993,40.387,40.935,9575911
xlb,2014-02-07,41.084,41.567,40.964,41.503,5580913
xlb,2014-02-10,41.503,41.769,41.38,41.707,16425235
xlb,2014-02-11,41.807,42.328,41.743,42.189,7518696
xlb,2014-02-12,42.179,42.382,42.022,42.115,4062823
xlb,2014-02-13,41.836,42.617,41.787,42.477,7231566
xlb,2014-02-14,42.551,42.867,42.401,42.82,5516412
xlb,2014-02-18,42.802,42.949,42.626,42.848,6128579
xlb,2014-02-19,42.82,43.191,42.514,42.551,8500506
xlb,2014-02-20,42.67,43.053,42.42,42.995,7233867
xlb,2014-02-21,43.072,43.191,42.886,42.886,4294117
xlb,2014-02-24,42.736,43.127,42.717,42.736,15843390
xlb,2014-02-25,42.764,43.09,42.626,42.895,6885477
xlb,2014-02-26,42.966,43.349,42.895,43.22,7273457
