Ticker,Date,Price,Open,High,Low,ChangePercent
US10YR,2021-04-05,1.72,1.702,1.727,1.702,0.0084
US10YR,2021-04-04,1.705,1.7,1.705,1.7,-0.0052
US10YR,2021-04-02,1.714,1.67,1.727,1.67,0.0244
US10YR,2021-04-01,1.673,1.737,1.753,1.672,-0.0404
US10YR,2021-03-31,1.744,1.717,1.753,1.708,0.0199
US10YR,2021-03-30,1.71,1.713,1.776,1.706,-0.0041
US10YR,2021-03-29,1.717,1.672,1.728,1.635,0.0267
US10YR,2021-03-28,1.672,1.671,1.672,1.671,-0.0011
US10YR,2021-03-26,1.674,1.626,1.681,1.619,0.0251
US10YR,2021-03-25,1.633,1.612,1.642,1.591,0.0121
US10YR,2021-03-24,1.614,1.615,1.651,1.589,-0.0053
US10YR,2021-03-23,1.622,1.682,1.702,1.615,-0.0427
US10YR,2021-03-22,1.695,1.707,1.709,1.663,-0.0071
US10YR,2021-03-21,1.707,1.71,1.71,1.707,-0.0134
US10YR,2021-03-19,1.73,1.71,1.75,1.671,0.0138
US10YR,2021-03-18,1.706,1.66,1.754,1.629,0.0366
US10YR,2021-03-17,1.646,1.621,1.689,1.616,0.0153
US10YR,2021-03-16,1.621,1.602,1.628,1.585,0.0088
US10YR,2021-03-15,1.607,1.637,1.639,1.595,-0.0181
US10YR,2021-03-14,1.637,1.639,1.639,1.637,0.0076
US10YR,2021-03-12,1.625,1.541,1.642,1.532,0.0583
US10YR,2021-03-11,1.535,1.521,1.547,1.475,0.0092
US10YR,2021-03-10,1.521,1.525,1.566,1.506,-0.0045
US10YR,2021-03-09,1.528,1.589,1.594,1.523,-0.0467
US10YR,2021-03-08,1.603,1.597,1.613,1.575,0.0023
US10YR,2021-03-07,1.599,1.597,1.599,1.597,0.0144
US10YR,2021-03-05,1.577,1.566,1.625,1.535,0.0125
US10YR,2021-03-04,1.557,1.486,1.569,1.45,0.0491
US10YR,2021-03-03,1.484,1.402,1.498,1.398,0.0615
US10YR,2021-03-02,1.398,1.424,1.453,1.39,-0.0192
US10YR,2021-03-01,1.426,1.395,1.46,1.383,0.0221
US10YR,2021-02-28,1.395,1.415,1.415,1.395,-0.0085
US10YR,2021-02-26,1.407,1.529,1.558,1.381,-0.0808
US10YR,2021-02-25,1.53,1.379,1.614,1.374,0.1152
US10YR,2021-02-24,1.372,1.343,1.435,1.33,0.0216
US10YR,2021-02-23,1.343,1.369,1.389,1.342,-0.0186
US10YR,2021-02-22,1.369,1.363,1.394,1.326,0.0051
US10YR,2021-02-21,1.362,1.367,1.367,1.362,0.0165
US10YR,2021-02-19,1.34,1.292,1.363,1.282,0.0327
US10YR,2021-02-18,1.297,1.274,1.318,1.258,0.0119
US10YR,2021-02-17,1.282,1.329,1.333,1.269,-0.0218
US10YR,2021-02-16,1.311,1.25,1.317,1.223,0.0485
US10YR,2021-02-15,1.25,1.25,1.25,1.25,0.0332
US10YR,2021-02-12,1.21,1.163,1.213,1.15,0.0387
US10YR,2021-02-11,1.165,1.147,1.166,1.132,0.0361
US10YR,2021-02-10,1.124,1.164,1.176,1.122,-0.0310
US10YR,2021-02-09,1.16,1.164,1.172,1.14,-0.0132
US10YR,2021-02-08,1.176,1.172,1.2,1.15,0.0015
US10YR,2021-02-07,1.174,1.177,1.177,1.174,0.0044
US10YR,2021-02-05,1.169,1.138,1.188,1.129,0.0290
US10YR,2021-02-04,1.136,1.143,1.162,1.131,-0.0029
US10YR,2021-02-03,1.139,1.108,1.141,1.105,0.0407
US10YR,2021-02-02,1.095,1.083,1.118,1.074,0.0144
US10YR,2021-02-01,1.079,1.071,1.089,1.06,0.0079
US10YR,2021-01-31,1.071,1.069,1.072,1.069,0.0000
US10YR,2021-01-29,1.071,1.048,1.105,1.042,0.0180
US10YR,2021-01-28,1.052,1.023,1.072,0.996,0.0385
US10YR,2021-01-27,1.013,1.04,1.05,1.001,-0.0197
US10YR,2021-01-26,1.033,1.043,1.053,1.028,0.0000
US10YR,2021-01-25,1.033,1.096,1.103,1.03,-0.0573
US10YR,2021-01-24,1.096,1.097,1.097,1.096,0.0094
US10YR,2021-01-22,1.086,1.113,1.118,1.08,-0.0214
US10YR,2021-01-21,1.109,1.085,1.123,1.077,0.0301
US10YR,2021-01-20,1.077,1.1,1.107,1.075,-0.0139
US10YR,2021-01-19,1.092,1.102,1.121,1.087,-0.0077
US10YR,2021-01-18,1.1,1.099,1.1,1.099,0.0125
US10YR,2021-01-15,1.087,1.128,1.128,1.084,-0.0375
US10YR,2021-01-14,1.129,1.085,1.138,1.075,0.0344
US10YR,2021-01-13,1.092,1.117,1.134,1.071,-0.0331
US10YR,2021-01-12,1.129,1.146,1.187,1.129,-0.0133
US10YR,2021-01-11,1.144,1.107,1.148,1.097,0.0229
US10YR,2021-01-10,1.119,1.119,1.119,1.119,0.0000
US10YR,2021-01-08,1.119,1.079,1.125,1.075,0.0347
US10YR,2021-01-07,1.081,1.037,1.088,1.029,0.0407
US10YR,2021-01-06,1.039,0.95,1.054,0.945,0.0880
US10YR,2021-01-05,0.955,0.922,0.963,0.916,0.0400
US10YR,2021-01-04,0.918,0.93,0.953,0.906,-0.0125
US10YR,2021-01-03,0.93,0.932,0.932,0.93,0.0145
US10YR,2020-12-31,0.916,0.927,0.937,0.911,-0.0107
US10YR,2020-12-30,0.926,0.935,0.956,0.923,-0.0142
US10YR,2020-12-29,0.94,0.936,0.951,0.928,0.0180
US10YR,2020-12-28,0.923,0.94,0.963,0.923,-0.0159
US10YR,2020-12-27,0.938,0.936,0.938,0.936,0.0125
US10YR,2020-12-24,0.926,0.951,0.955,0.921,-0.0193
US10YR,2020-12-23,0.945,0.918,0.973,0.903,0.0253
US10YR,2020-12-22,0.921,0.935,0.94,0.915,-0.0177
US10YR,2020-12-21,0.938,0.938,0.948,0.882,0.0000
US10YR,2020-12-20,0.938,0.936,0.938,0.936,-0.0071
US10YR,2020-12-18,0.945,0.931,0.951,0.915,0.0107
US10YR,2020-12-17,0.935,0.92,0.945,0.891,0.0163
US10YR,2020-12-16,0.92,0.911,0.955,0.901,0.0091
US10YR,2020-12-15,0.911,0.898,0.925,0.885,0.0147
US10YR,2020-12-14,0.898,0.911,0.939,0.888,-0.0128
US10YR,2020-12-13,0.91,0.908,0.91,0.908,0.0148
US10YR,2020-12-11,0.896,0.91,0.915,0.873,-0.0109
US10YR,2020-12-10,0.906,0.926,0.941,0.905,-0.0335
US10YR,2020-12-09,0.938,0.931,0.959,0.924,0.0179
US10YR,2020-12-08,0.921,0.928,0.941,0.893,-0.0071
US10YR,2020-12-07,0.928,0.974,0.974,0.924,-0.0460
US10YR,2020-12-04,0.973,0.91,0.986,0.901,0.0673
US10YR,2020-12-03,0.911,0.936,0.946,0.901,-0.0282
US10YR,2020-12-02,0.938,0.923,0.966,0.911,0.0089
US10YR,2020-12-01,0.929,0.847,0.938,0.834,0.1034
US10YR,2020-11-30,0.842,0.845,0.86,0.831,-0.0019
US10YR,2020-11-29,0.844,0.845,0.845,0.844,0.0019
US10YR,2020-11-27,0.842,0.859,0.868,0.839,-0.0191
US10YR,2020-11-26,0.859,0.855,0.859,0.855,-0.0261
US10YR,2020-11-25,0.882,0.887,0.9,0.855,-0.0036
US10YR,2020-11-24,0.885,0.872,0.888,0.854,0.0305
US10YR,2020-11-23,0.859,0.832,0.862,0.826,0.0416
US10YR,2020-11-22,0.824,0.824,0.824,0.824,0.0000
US10YR,2020-11-20,0.824,0.82,0.85,0.818,-0.0214
US10YR,2020-11-19,0.842,0.86,0.867,0.831,-0.0320
US10YR,2020-11-18,0.87,0.862,0.893,0.836,0.0095
US10YR,2020-11-17,0.862,0.905,0.916,0.859,-0.0540
US10YR,2020-11-16,0.911,0.9,0.931,0.873,0.0110
US10YR,2020-11-15,0.901,0.901,0.901,0.901,0.0037
US10YR,2020-11-13,0.898,0.885,0.901,0.864,0.0166
US10YR,2020-11-12,0.883,0.952,0.964,0.878,-0.0959
US10YR,2020-11-11,0.977,0.977,0.977,0.977,0.0181
US10YR,2020-11-10,0.96,0.927,0.973,0.908,0.0390
US10YR,2020-11-09,0.924,0.83,0.975,0.798,0.1122
US10YR,2020-11-08,0.83,0.834,0.834,0.83,0.0124
US10YR,2020-11-06,0.82,0.763,0.837,0.758,0.0702
US10YR,2020-11-05,0.766,0.756,0.79,0.718,-0.0065
US10YR,2020-11-04,0.771,0.928,0.945,0.756,-0.1391
US10YR,2020-11-03,0.896,0.852,0.901,0.852,0.0518
US10YR,2020-11-02,0.852,0.855,0.874,0.828,-0.0078
US10YR,2020-11-01,0.859,0.855,0.859,0.855,-0.0174
US10YR,2020-10-30,0.874,0.831,0.877,0.805,0.0509
US10YR,2020-10-29,0.831,0.779,0.841,0.769,0.0737
US10YR,2020-10-28,0.774,0.766,0.784,0.746,0.0044
US10YR,2020-10-27,0.771,0.794,0.809,0.768,-0.0396
US10YR,2020-10-26,0.803,0.828,0.831,0.791,-0.0459
US10YR,2020-10-23,0.841,0.858,0.872,0.831,-0.0232
US10YR,2020-10-22,0.861,0.814,0.87,0.804,0.0492
US10YR,2020-10-21,0.821,0.799,0.836,0.797,0.0448
US10YR,2020-10-20,0.786,0.769,0.801,0.764,0.0174
US10YR,2020-10-19,0.772,0.759,0.781,0.754,0.0154
US10YR,2020-10-18,0.761,0.762,0.762,0.761,0.0156
US10YR,2020-10-16,0.749,0.736,0.757,0.721,0.0135
US10YR,2020-10-15,0.739,0.724,0.74,0.691,0.0161
US10YR,2020-10-14,0.727,0.73,0.735,0.709,-0.0023
US10YR,2020-10-13,0.729,0.76,0.769,0.726,-0.0456
US10YR,2020-10-12,0.764,0.764,0.764,0.764,-0.0193
US10YR,2020-10-09,0.779,0.777,0.799,0.76,0.0000
US10YR,2020-10-08,0.779,0.78,0.787,0.762,-0.0064
US10YR,2020-10-07,0.784,0.74,0.797,0.739,0.0680
US10YR,2020-10-06,0.734,0.775,0.792,0.727,-0.0576
US10YR,2020-10-05,0.778,0.71,0.783,0.699,0.1033
US10YR,2020-10-04,0.706,0.709,0.709,0.706,0.0024
US10YR,2020-10-02,0.704,0.682,0.706,0.653,0.0364
US10YR,2020-10-01,0.679,0.689,0.72,0.669,-0.0096
US10YR,2020-09-30,0.686,0.651,0.704,0.641,0.0530
US10YR,2020-09-29,0.651,0.658,0.663,0.641,-0.0099
US10YR,2020-09-28,0.658,0.658,0.674,0.654,0.0000
US10YR,2020-09-27,0.658,0.656,0.658,0.656,0.0024
US10YR,2020-09-25,0.656,0.671,0.679,0.651,-0.0171
US10YR,2020-09-24,0.668,0.674,0.681,0.661,-0.0145
US10YR,2020-09-23,0.677,0.676,0.692,0.656,0.0097
US10YR,2020-09-22,0.671,0.666,0.681,0.659,0.0025
US10YR,2020-09-21,0.669,0.682,0.692,0.648,-0.0400
US10YR,2020-09-18,0.697,0.689,0.699,0.668,0.0121
US10YR,2020-09-17,0.689,0.69,0.692,0.646,-0.0140
US10YR,2020-09-16,0.698,0.672,0.702,0.656,0.0265
US10YR,2020-09-15,0.68,0.674,0.689,0.666,0.0073
US10YR,2020-09-14,0.676,0.672,0.68,0.651,0.0073
US10YR,2020-09-13,0.671,0.671,0.671,0.671,0.0025
US10YR,2020-09-11,0.669,0.68,0.697,0.664,-0.0192
US10YR,2020-09-10,0.682,0.698,0.723,0.677,-0.0233
US10YR,2020-09-09,0.698,0.667,0.71,0.659,0.0240
US10YR,2020-09-08,0.682,0.72,0.721,0.664,-0.0524
US10YR,2020-09-07,0.72,0.72,0.72,0.72,-0.0022
US10YR,2020-09-04,0.721,0.628,0.725,0.628,0.1334
US10YR,2020-09-03,0.636,0.648,0.669,0.604,-0.0174
US10YR,2020-09-02,0.648,0.675,0.693,0.643,-0.0363
US10YR,2020-09-01,0.672,0.713,0.731,0.669,-0.0486
